strain 1,stress 1,strain 2,stress 2,strain 3,stress 3,strain 4,stress 4,strain 5,stress 5
-0.0055509,0.464513243,-0.064824833,0.623180971,-0.042067833,0.717466019,-0.024590667,0.616286796,-0.027321333,0.648477087
-0.006257667,0.478310505,-0.065384833,0.639281359,-0.043333167,0.731264854,-0.025723333,0.630080388,-0.0296925,0.666873786
-0.0067264,0.487508854,-0.067124833,0.655376505,-0.0436495,0.74736,-0.027070833,0.650778641,-0.030878,0.678371068
-0.0076129,0.501306117,-0.068337167,0.676074757,-0.046167333,0.761158835,-0.027648333,0.662275922,-0.034079667,0.692169903
-0.008599167,0.515103379,-0.068943167,0.68986835,-0.046986333,0.781851845,-0.0299915,0.680672621,-0.035540833,0.708265049
-0.009278067,0.526599612,-0.0699865,0.705968738,-0.047946,0.79565068,-0.031789333,0.696767767,-0.036271333,0.724365437
-0.011145567,0.540398447,-0.0699865,0.722063883,-0.048826167,0.811745825,-0.033665333,0.708265049,-0.038469667,0.738159029
-0.012445783,0.556493592,-0.071329333,0.738159029,-0.049668333,0.832444078,-0.035508333,0.722063883,-0.040105333,0.754259417
-0.0132814,0.572593981,-0.072198167,0.754259417,-0.0499245,0.850840777,-0.037412333,0.742762136,-0.040923,0.76805301
-0.0152284,0.579493398,-0.072838167,0.774952427,-0.051805833,0.864634369,-0.038228333,0.754259417,-0.043156333,0.786449709
-0.016667833,0.595588544,-0.073158167,0.79565068,-0.0523815,0.883031068,-0.040294667,0.772656117,-0.044560833,0.804846408
-0.017603,0.613985243,-0.074329833,0.818645243,-0.053216333,0.901427767,-0.041557,0.793349126,-0.045263,0.820946796
-0.019463,0.625482524,-0.0751065,0.837041942,-0.0540445,0.922126019,-0.043194333,0.807147961,-0.046950167,0.841639806
-0.020843667,0.639281359,-0.075494833,0.855438641,-0.0550195,0.938221165,-0.045041667,0.820946796,-0.0479585,0.860036505
-0.021741333,0.662275922,-0.076468167,0.876136893,-0.055316167,0.958919417,-0.0471475,0.841639806,-0.048509667,0.876136893
-0.023953833,0.676074757,-0.076468167,0.896829903,-0.057016167,0.979612427,-0.04805,0.853137087,-0.049917833,0.892232039
-0.025590833,0.687572039,-0.077547833,0.915226602,-0.057016167,1.00031068,-0.05074,0.869237476,-0.050787667,0.910628738
-0.026654667,0.708265049,-0.078400667,0.935924854,-0.060296167,1.018707379,-0.052598333,0.887634175,-0.051263,0.924427573
-0.028772667,0.724365437,-0.079671833,0.95202,-0.061252833,1.041701942,-0.054727167,0.90372932,-0.0526825,0.945120583
-0.029844833,0.742762136,-0.080383167,0.968115146,-0.062194667,1.062400194,-0.057215,0.922126019,-0.053633833,0.961215728
-0.030484667,0.763455146,-0.081660833,0.986511845,-0.062481167,1.076193786,-0.0589105,0.945120583,-0.054156333,0.981913981
-0.032035667,0.784153398,-0.082317167,1.004908544,-0.062565,1.096892039,-0.059758333,0.958919417,-0.055640167,1.002612233
-0.0335105,0.800248544,-0.0826715,1.025606796,-0.062735,1.112987184,-0.061895,0.975014563,-0.056199167,1.023305243
-0.034506333,0.823243107,-0.0830405,1.048601359,-0.0627945,1.129087573,-0.061895,0.995712816,-0.056493,1.046299806
-0.036244833,0.841639806,-0.083053167,1.073897476,-0.0627945,1.152082136,-0.065241667,1.014109515,-0.057387167,1.064696505
-0.037482667,0.860036505,-0.0846215,1.089992621,-0.0627945,1.175076699,-0.067041667,1.03020466,-0.058002833,1.085394757
-0.038281333,0.878433204,-0.086058667,1.115288738,-0.062314833,1.193473398,-0.068801667,1.055500777,-0.058341333,1.101489903
-0.039845833,0.90372932,-0.086619167,1.13598699,-0.062256167,1.221071068,-0.069681667,1.076193786,-0.059638333,1.122188155
-0.041004833,0.917528155,-0.086914833,1.158981553,-0.062399333,1.244065631,-0.072101667,1.094590485,-0.0592745,1.133685437
-0.041758,0.940522718,-0.088377833,1.175076699,-0.062442833,1.264758641,-0.072101667,1.115288738,-0.059038,1.15668
-0.0439705,0.963517282,-0.088228667,1.20497068,-0.062182833,1.290054757,-0.073059333,1.133685437,-0.060961667,1.170478835
-0.045350667,0.988813398,-0.088113167,1.218769515,-0.062182833,1.31304932,-0.072285,1.152082136,-0.062243,1.193473398
-0.046218,1.007210097,-0.087634667,1.241764078,-0.061132833,1.336049126,-0.071735,1.170478835,-0.062946333,1.21417165
-0.048344667,1.034802524,-0.087618167,1.264758641,-0.060294167,1.356742136,-0.07146,1.193473398,-0.064417333,1.241764078
-0.049807333,1.060098641,-0.086988167,1.287758447,-0.059425333,1.377440388,-0.07063,1.211870097,-0.065,1.260160777
-0.050811333,1.085394757,-0.0861955,1.31075301,-0.0587645,1.400434951,-0.069946667,1.23486466,-0.065308,1.285456893
-0.0525635,1.10609301,-0.084886833,1.338345437,-0.058297833,1.425731068,-0.069605,1.257859223,-0.0661765,1.31075301
-0.053921,1.13598699,-0.083350833,1.359043689,-0.0576735,1.441826214,-0.068636667,1.278557476,-0.066479833,1.331446019
-0.054873,1.163579417,-0.0815865,1.384339806,-0.057456167,1.476318058,-0.068636667,1.296954175,-0.066638,1.354440583
-0.056973333,1.18427767,-0.080323333,1.40963068,-0.056192833,1.497016311,-0.067445,1.319948738,-0.0668475,1.382038252
-0.058416333,1.21417165,-0.079643167,1.428027379,-0.056192833,1.522312427,-0.066775,1.34064699,-0.067328667,1.405032816
-0.059396333,1.244065631,-0.0783205,1.455625049,-0.056062833,1.547608544,-0.065965,1.359043689,-0.067603,1.428027379
-0.060939,1.269361748,-0.078274833,1.480921165,-0.0549545,1.575200971,-0.06556,1.382038252,-0.0678625,1.453323495
-0.062100833,1.292356311,-0.075733167,1.508513592,-0.054559833,1.588999806,-0.064473333,1.402736505,-0.068131,1.474021748
-0.062909667,1.317652427,-0.0745845,1.536106019,-0.054416167,1.621190097,-0.064473333,1.423429515,-0.068281333,1.492418447
-0.064362833,1.34064699,-0.074544833,1.559105825,-0.054392833,1.644189903,-0.063113833,1.451027184,-0.067811,1.513111456
-0.065165,1.370540971,-0.0732165,1.584396699,-0.0542535,1.667184466,-0.062171667,1.471720194,-0.0676895,1.538407573
-0.065671333,1.395837087,-0.071218833,1.609692816,-0.054202833,1.692480583,-0.0612775,1.497016311,-0.067623,1.556804272
-0.067052333,1.430328932,-0.071149833,1.628089515,-0.053366167,1.722374563,-0.060383333,1.524608738,-0.0678175,1.584396699
-0.068100333,1.462524466,-0.072154833,1.653385631,-0.052422667,1.743067573,-0.059766667,1.547608544,-0.068207333,1.609692816
-0.068831333,1.494714757,-0.071516833,1.687877476,-0.0520795,1.768363689,-0.059458333,1.566005243,-0.068458,1.634988932
-0.070234,1.522312427,-0.071494833,1.708575728,-0.0509895,1.791358252,-0.059008333,1.591296117,-0.069179833,1.657983495
-0.070780333,1.556804272,-0.070174833,1.736168155,-0.050305167,1.818955922,-0.059008333,1.61429068,-0.069033333,1.685581165
-0.071069667,1.584396699,-0.068191667,1.770665243,-0.050056167,1.844246796,-0.057995833,1.637290485,-0.068901333,1.710877282
-0.0716865,1.61429068,-0.068054833,1.795956117,-0.048841167,1.871844466,-0.057345833,1.667184466,-0.0682185,1.740771262
-0.072366333,1.646486214,-0.0650965,1.821252233,-0.0478915,1.899436893,-0.0568985,1.692480583,-0.067888667,1.768363689
-0.072878,1.676380194,-0.062760167,1.851146214,-0.047546167,1.927034563,-0.056658333,1.717771456,-0.067701333,1.791358252
-0.074038,1.710877282,-0.062593167,1.878743883,-0.0463095,1.956928544,-0.0557415,1.745369126,-0.066791333,1.823553786
-0.074578167,1.745369126,-0.0604165,1.901738447,-0.045408833,1.984520971,-0.05571,1.768363689,-0.066120333,1.851146214
-0.074894667,1.779860971,-0.0581485,1.933933981,-0.045081167,2.012118641,-0.054537833,1.793659806,-0.065716333,1.874146019
-0.0768,1.809754951,-0.0579865,1.961526408,-0.044072833,2.039711068,-0.054003333,1.821252233,-0.064174833,1.90404
-0.077519667,1.851146214,-0.054938167,1.991420388,-0.043084167,2.071906602,-0.053173333,1.84654835,-0.063098667,1.931632427
-0.077893,1.878743883,-0.052100833,2.019018058,-0.0427245,2.094901165,-0.052708333,1.874146019,-0.062454667,1.95462699
-0.0785705,1.917833592,-0.051898167,2.05120835,-0.0403495,2.120197282,-0.051322667,1.901738447,-0.061271,1.98222466
-0.078728,1.95462699,-0.0490715,2.076504466,-0.038467333,2.150091262,-0.051275,1.929330874,-0.059936333,2.012118641
-0.078774667,1.991420388,-0.047579833,2.106398447,-0.037782833,2.177683689,-0.049716667,1.95462699,-0.059103,2.03051534
-0.0787805,2.025912233,-0.047473167,2.136292427,-0.035347833,2.205281359,-0.049016667,1.986822524,-0.056544167,2.062705631
-0.078613333,2.065007184,-0.0442315,2.168487961,-0.033603833,2.23747165,-0.048981667,2.016716505,-0.054860333,2.094901165
-0.078466333,2.094901165,-0.041350667,2.196080388,-0.0329695,2.274265049,-0.047725,2.042012621,-0.053859667,2.120197282
-0.078237167,2.12939301,-0.041144833,2.223678058,-0.030127833,2.306460583,-0.0463475,2.069605049,-0.05192,2.147789709
-0.077889667,2.170784272,-0.037369833,2.25586835,-0.0282065,2.336354563,-0.0463,2.099499029,-0.050299333,2.182286796
-0.077586333,2.202979806,-0.033673833,2.28576233,-0.027507833,2.366248544,-0.0445475,2.120197282,-0.049311333,2.209879223
-0.0768975,2.23747165,-0.033409833,2.31336,-0.024472833,2.398444078,-0.043564167,2.145493398,-0.047031,2.239773204
-0.075994667,2.278868155,-0.029883167,2.343253981,-0.022043833,2.421438641,-0.042900667,2.179985243,-0.04562,2.267370874
-0.075229667,2.320259417,-0.0264625,2.380047379,-0.021002833,2.449031068,-0.042545,2.20757767,-0.044788,2.299561165
-0.073621333,2.354751262,-0.026218167,2.405343495,-0.017707833,2.485824466,-0.041811833,2.23517534,-0.042569833,2.336354563
-0.072396333,2.39154466,-0.0222665,2.432935922,-0.016060567,2.513422136,-0.041786667,2.26506932,-0.040433333,2.363952233
-0.071493,2.430639612,-0.020521167,2.467427767,-0.015354567,2.54561767,-0.040038333,2.297264854,-0.039114667,2.389243107
-0.069441667,2.467427767,-0.0203965,2.499623301,-0.01210455,2.580109515,-0.038544833,2.327158835,-0.036954,2.423740194
-0.067684667,2.501924854,-0.0165949,2.527220971,-0.009334883,2.614601359,-0.037602333,2.354751262,-0.035411667,2.453634175
-0.066338,2.541014563,-0.01253335,2.564009126,-0.008147883,2.642199029,-0.037086667,2.384645243,-0.034486333,2.478930291
-0.064027,2.587008932,-0.012243233,2.59620466,-0.00501455,2.678987184,-0.035683333,2.419137087,-0.032567,2.515718447
-0.061963,2.628400194,-0.007998233,2.628400194,-0.002947217,2.708886408,-0.035635,2.449031068,-0.031161,2.550215534
-0.060361333,2.667489903,-0.003488683,2.662892039,-0.002061217,2.743378252,-0.033599,2.478930291,-0.030243,2.580109515
-0.057378,2.706584854,-0.003166567,2.697383883,0.001268775,2.775568544,-0.0326745,2.508824272,-0.027543,2.610003495
-0.054988833,2.743378252,0.001876767,2.724981553,0.003946283,2.810065631,-0.031868333,2.543316117,-0.025148333,2.64449534
-0.053196333,2.777870097,0.007341433,2.764071262,0.005093783,2.842255922,-0.031428333,2.57551165,-0.023546333,2.67209301
-0.0499755,2.816965049,0.007731767,2.79856835,0.009162117,2.872155146,-0.0303275,2.600802524,-0.020880833,2.706584854
-0.047342167,2.853758447,0.013828433,2.826160777,0.011910783,2.904345437,-0.030251667,2.635299612,-0.018640167,2.736478835
-0.045353,2.895149709,0.019158,2.858356311,0.013088767,2.936540971,-0.0283785,2.669791456,-0.017153,2.77097068
-0.0417155,2.936540971,0.019750167,2.895149709,0.017117167,2.971032816,-0.027254,2.70198699,-0.01391305,2.80086466
-0.038587167,2.980233786,0.0262235,2.92734,0.020008167,3.00552466,-0.026078667,2.731880971,-0.0114101,2.835361748
-0.036186333,3.021625049,0.0324815,2.959535534,0.021247167,3.040021748,-0.02537,2.77097068,-0.009771383,2.865255728
-0.032244667,3.067614175,0.033176833,2.996328932,0.0250655,3.076815146,-0.0241395,2.803166214,-0.006163883,2.899747573
-0.029169667,3.106709126,0.039971833,3.03312233,0.027988,3.11130699,-0.024051667,2.839959612,-0.003597433,2.934239417
-0.026883,3.150401942,0.046784833,3.072212039,0.0292405,3.145798835,-0.022453167,2.869853592,-0.001941367,2.968736505
-0.023524667,3.18949165,0.047541833,3.104407573,0.032888833,3.180295922,-0.021632,2.908943301,0.001792133,3.000926796
-0.020812167,3.233184466,0.0553635,3.136603107,0.035568667,3.219385631,-0.020859,2.938842524,0.004688967,3.03312233
-0.018771333,3.276877282,0.0617685,3.171094951,0.036717167,3.253877476,-0.020398333,2.971032816,0.00658695,3.065317864
-0.01437,3.322866408,0.062480167,3.205586796,0.040808833,3.290670874,-0.019371667,2.998630485,0.010531967,3.097508155
-0.0104289,3.36425767,0.069585167,3.235480777,0.044105833,3.322866408,-0.019298333,3.030820777,0.013597733,3.134301553
-0.007368067,3.41254835,0.076098167,3.269977864,0.045518833,3.361961359,-0.017153333,3.058418447,0.01560695,3.171094951
-0.0026875,3.453939612,0.076821833,3.311369126,0.050512167,3.396453204,-0.01599115,3.097508155,0.019366,3.205586796
0.001519575,3.495336117,0.084336833,3.348162524,0.054001667,3.428648738,-0.015166933,3.129703689,0.022244833,3.240083883
0.0050086,3.541325243,0.084336833,3.382654369,0.055497167,3.460839029,-0.014694933,3.168798641,0.024127,3.276877282
0.0094206,3.585018058,0.093260167,3.419447767,0.060982167,3.499933981,-0.013265367,3.20788835,0.0279535,3.309067573
0.013087933,3.628705631,0.098328667,3.458542718,0.0645815,3.532124272,-0.013163267,3.244681748,0.030887,3.34356466
0.016018617,3.670102136,0.1023125,3.49073301,0.0662955,3.564319806,-0.01093615,3.276877282,0.032805333,3.378056505
0.021261333,3.716091262,0.1049285,3.529827961,0.071707167,3.605711068,-0.009485033,3.31367068,0.038127333,3.419447767
0.025804333,3.757482524,0.1096445,3.566621359,0.075604833,3.640208155,-0.007807933,3.350458835,0.041043833,3.451643301
0.029498667,3.803476893,0.1101685,3.603414757,0.077553833,3.679297864,-0.0067866,3.384955922,0.042822,3.488436699
0.034677333,3.844868155,0.1163935,3.642504466,0.083377167,3.716091262,-0.003322367,3.424045631,0.045288,3.527526408
0.038866833,3.893158835,0.123586,3.681599417,0.087722667,3.75288466,-0.00051593,3.463140583,0.048517167,3.566621359
0.042175333,3.934550097,0.126464833,3.716091262,0.0898955,3.787376505,0.00119007,3.499933981,0.050777,3.601113204
0.047207333,3.982840777,0.128055167,3.757482524,0.096467167,3.83106932,0.00492185,3.534425825,0.0559685,3.640208155
0.051526667,4.028829903,0.132520667,3.794275922,0.100478167,3.863264854,0.0076054,3.575817087,0.059670167,3.672398447
0.055025333,4.079422136,0.133016833,3.828767767,0.102483833,3.897756699,0.009216733,3.605711068,0.062243667,3.706895534
0.060272,4.125411262,0.139080167,3.863264854,0.1084455,3.941449515,0.013062067,3.642504466,0.067193667,3.743683689
0.061583667,4.171405631,0.145521167,3.900058252,0.112832167,3.980539223,0.015853733,3.676996311,0.070863667,3.782778641
0.068943667,4.215093204,0.150455667,3.932248544,0.1150255,4.012734757,0.017531667,3.718392816,0.073408667,3.819572039
0.074051667,4.263389126,0.155492667,3.973639806,0.121283833,4.051829709,0.0216135,3.750583107,0.078426667,3.860963301
0.078161333,4.304780388,0.160667,4.010433204,0.1253705,4.093220971,0.024535,3.796577476,0.082256333,3.900058252
0.081398667,4.350769515,0.1664005,4.049528155,0.127413833,4.125411262,0.026288333,3.828767767,0.084932,3.939147961
0.087032,4.39446233,0.170511667,4.08402,0.133672167,4.16220466,0.030304667,3.872460583,0.090150667,3.978242913
0.092062333,4.44275301,0.177246667,4.123114951,0.137562167,4.201299612,0.033432333,3.906952427,0.090953667,4.017332621
0.096202,4.484144272,0.178283333,4.155305243,0.139507167,4.242690874,0.035495,3.943745825,0.097478667,4.054126019
0.102496667,4.530133398,0.185521667,4.194400194,0.145558833,4.279484272,0.0396215,3.978242913,0.103039667,4.093220971
0.107860333,4.573826214,0.194561667,4.233489903,0.149883167,4.318573981,0.042762333,4.017332621,0.103895333,4.127712816
0.112192,4.624418447,0.195951667,4.277182718,0.1520455,4.355367379,0.044813333,4.054126019,0.110138667,4.166802524
0.118354667,4.668111262,0.200315,4.313976117,0.1588955,4.396758641,0.049070333,4.095517282,0.115283667,4.205897476
0.123796667,4.714100388,0.200315,4.355367379,0.163817667,4.431255728,0.052798833,4.136908544,0.116075333,4.244992427
0.128255333,4.760089515,0.212716667,4.389864466,0.166278833,4.470345437,0.055288333,4.178305049,0.121773667,4.284082136
0.134926,4.806083883,0.21504,4.431255728,0.173575,4.507138835,0.060494833,4.215093204,0.127105,4.323177087
0.140716667,4.85207301,0.221081667,4.465747573,0.178535,4.548530097,0.0643865,4.251886602,0.127925333,4.362266796
0.145428667,4.895765825,0.222011667,4.504842524,0.181015,4.585323495,0.06692,4.284082136,0.134318667,4.401361748
0.15237,4.944056505,0.229536667,4.543932233,0.188358333,4.626714757,0.0721535,4.325473398,0.140359333,4.44275301
0.158212667,4.990045631,0.236558333,4.585323495,0.193281667,4.665809709,0.076066167,4.359970485,0.141288667,4.481842718
0.162907,5.038336311,0.24034,4.622116893,0.195743333,4.709502524,0.078613333,4.408261165,0.148073667,4.523239223
0.169625,5.08662699,0.247051667,4.658910291,0.20281,4.746295922,0.083699833,4.449652427,0.1535105,4.560027379
0.175141667,5.132621359,0.248085,4.700301553,0.207726667,4.787687184,0.087483667,4.49334,0.154347,4.59912233
0.179793333,5.174012621,0.256191667,4.741692816,0.210183333,4.826776893,0.089945,4.530133398,0.161688667,4.638217282
0.18592,5.220001748,0.256191667,4.778486214,0.216675,4.865871845,0.094895,4.573826214,0.167998333,4.675005437
0.191473333,5.268302913,0.267455,4.819882718,0.221645,4.904961553,0.098763833,4.610619612,0.168968333,4.716401942
0.196295,5.311974757,0.267455,4.858972427,0.224396667,4.941754951,0.101301667,4.649714563,0.176346667,4.750893786
0.202361667,5.36256699,0.283933333,4.895765825,0.231795,4.976252039,0.106527667,4.684206408,0.183196667,4.794586602
0.207483333,5.410852427,0.286836667,4.932559223,0.237108333,5.010743883,0.110168333,4.723296117,0.18425,4.829078447
0.211768333,5.456883495,0.295368333,4.976252039,0.240036667,5.052135146,0.112508333,4.762391068,0.191308333,4.868173398
0.218215,5.505168932,0.301806667,5.010743883,0.24742,5.088928544,0.117633833,4.801486019,0.197321667,4.907263107
0.220176667,5.548840777,0.306291667,5.054436699,0.252615,5.132621359,0.121752667,4.833676311,0.198246667,4.953252233
0.228716667,5.597126214,0.314466667,5.095827961,0.255475,5.178610485,0.124466667,4.875067573,0.205428333,4.990045631
0.235336667,5.647718447,0.315725,5.137219223,0.262988333,5.220001748,0.130079667,4.916464078,0.211621667,5.03604
0.241376667,5.69831068,0.325093333,5.171711068,0.268228333,5.256821359,0.134534,4.95785534,0.212575,5.075129709
0.24664,5.741982524,0.325093333,5.213107573,0.271111667,5.298186408,0.137463333,4.990045631,0.220348333,5.116520971
